Respondent ID,Q1,Q2,REF1: Product,REF2: Age,REF3: Gender,REF4: Music,REF5: Activity,Positive_Sent,Negative_Sent,Overall_Sent,Overall_Sent,,
1,"little, light",expensive,Other,25-34,Female,R&B,Working,0,-0.25,-0.25,negative,,
2,The battery power is great.,The screen is hard to see when outside.,Product E,35-44,Male,Classical,Working,0.223606798,-0.088388348,0.13521845,positive,,
3,cost and size,difficult software,Other,25-34,Female,Rock,Other,0,-0.353553391,-0.353553391,negative,,
4,Having all my CDs in the palm of my hand!,"Nothing, I love it!",Product A,35-44,Female,Folk,Traveling,0,0.375,0.375,positive,,
5,The shuffle mode.,Battery life seems shorter than advertised.,Product A,35-44,Male,Rock,Traveling,0,0,0,neutral,,
6,Battery life. Portability. Accessories. Style.,Ubiquitousness; everyone has one.,Product A,25-34,Male,Rock,Traveling,0,0,0,neutral,,
7,I like its ability to store all of my music. I also like the ability to create playlists.,I wish the 40GB model was still available. I have a 20GB model and need more memory.,Product A,35-44,Male,Jazz,Relaxing,0.535824925,-0.07475469,0.461070236,positive,,
8,"portability, capacity, sound quality, durability",it doesn't have a light.,Other,35-44,Male,Rock,Other,0.715541753,0,0.715541753,positive,,
9,"Small, great sound, capacity.",Nothing. I love it.,Product A,25-34,Female,Rock,Traveling,0.25,0.236289112,0.486289112,positive,,
10,Able to hold all of my songs in one place.,It is in the shop due to a hardware failure.,Product A,35-44,Male,Rock,Relaxing,0,-0.237170825,-0.237170825,negative,,
11,It's portable! I can take it anywhere.,smudges on the display,Product A,45-54,Male,Jazz,Traveling,0.096464626,-0.3,-0.203535374,negative,,
12,Living in my own little world,Battery life,Product A,35-44,Male,Rock,Traveling,0,0,0,neutral,,
13,mobility,Technical difficulties setting it up initially and managing the library of songs on my PC.,Product A,35-44,Female,Other,Traveling,0,0.025819889,0.025819889,positive,,
14,"I like that Product A has a lot of storage. Also, the interface is very easy to use.","It is a little heavy, and the battery life isn't long enough.",Product A,25-34,Female,Country,Working,0.397254993,0.072168784,0.469423777,positive,,
15,It holds a ton of music.,Battery life.,Product A,25-34,Male,Rock,Traveling,0.244948974,0,0.244948974,positive,,
16,It's fun to use,nothing,Product A,45-54,Female,R&B,Traveling,0.375,0,0.375,positive,,
17,its cool,battery,Product A,35-44,Male,Rock,Traveling,0.530330086,0,0.530330086,positive,,
18,lots of disk space,it was very expensive,Product A,25-34,Female,Country,Traveling,0,-0.225,-0.225,negative,,
19,Others think it is cool and it sounds great.,I find the controls hard to use.,Product B,<18,Female,Rap,Working,0.416666667,-0.094491118,0.322175548,positive,,
20,lightweight,so small afraid I'll lose it easily,Product A,45-54,Female,Rock,Other,0,-0.377964473,-0.377964473,negative,,
21,easy to use,size,Product D,25-34,Female,Rock,Traveling,0.577350269,0,0.577350269,positive,,
22,great accessories,high price,Product A,45-54,Male,Classical,Relaxing,0.353553391,0,0.353553391,positive,,
23,i can listen to my music wherever i want. i also like that it is durable/dropable.,i can't change the color of the outside. I wanted red.,Product A,25-34,Female,Rock,Traveling,0.320970869,0,0.320970869,positive,,
24,supports standard for lossless compression which offers much higher fidelity.,window scratches easily,Other,>54,Female,Jazz,Traveling,0.442718872,-0.346410162,0.096308711,positive,,
